City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Atuona,PF,78.08,clear sky,-9.8,-139.0333,Villa Enata
5,Rikitea,PF,79.18,clear sky,-23.1203,-134.9692,People ThankYou
6,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
15,Hobart,AU,75.02,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
22,Geraldton,AU,84.61,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
29,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
34,Dubbo,AU,82.53,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
36,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
38,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
44,Jevargi,IN,76.68,few clouds,17.0167,76.7667,Khamadhenu Hotel
57,Butaritari,KI,82.36,light rain,3.0707,172.7902,Isles Sunset Lodge
64,Chirongui,YT,80.53,light rain,-12.9319,45.1483,La Villa Mahatsara
65,Georgetown,MY,86.9,few clouds,5.4112,100.3354,Cititel Penang
70,Ambulu,ID,81.72,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
74,Bac Lieu,VN,80.17,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
78,Ambilobe,MG,75.24,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
79,Kismayo,SO,76.59,broken clouds,-0.3582,42.5454,Agan-Hotel
92,Carnarvon,AU,89.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
94,Bonthe,SL,75.49,few clouds,7.5264,-12.505,Bonthe Holiday Village
103,Meulaboh,ID,82.87,overcast clouds,4.1363,96.1285,Kost Pria
105,Caboolture,AU,81.1,light rain,-27.0833,152.95,Caboolture Riverlakes Motel
106,Pedernales,DO,76.77,clear sky,18.0384,-71.744,Hotel Costa Marina
113,Mamallapuram,IN,84.25,clear sky,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
115,Hithadhoo,MV,81.18,overcast clouds,-0.6,73.0833,Scoop Guest House
119,Codrington,AU,77.54,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
121,Namatanai,PG,83.16,light rain,-3.6667,152.4333,Seagulls Inn Namatani
123,Kahului,US,77.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
129,Manakara,MG,75.94,scattered clouds,-22.1333,48.0167,La Residence Manakara
130,Saint-Philippe,RE,81.1,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
133,Paciran,ID,79.11,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
134,Faanui,PF,82.22,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
