City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,-20.04,69,75,4.61,broken clouds
1,Airai,TL,-8.9266,125.4092,72.25,72,91,1.63,overcast clouds
2,Provideniya,RU,64.3833,-173.3,-15.38,90,4,8.68,clear sky
3,Changji,CN,44.0167,87.3167,14.79,92,75,2.24,mist
4,Atuona,PF,-9.8,-139.0333,78.08,75,8,12.77,clear sky
5,Rikitea,PF,-23.1203,-134.9692,79.18,74,5,16.93,clear sky
6,Kapaa,US,22.0752,-159.319,78.78,71,75,4.61,broken clouds
7,Broome,US,42.2506,-75.833,47.77,62,75,6.91,broken clouds
8,Avarua,CK,-21.2078,-159.775,82.45,74,20,6.91,few clouds
9,Punta Arenas,CL,-53.15,-70.9167,57.31,77,75,23.02,light rain
10,Ushuaia,AR,-54.8,-68.3,55.06,76,40,43.73,light intensity drizzle
11,Kodiak,US,57.79,-152.4072,36.91,93,100,3.44,mist
12,Iqaluit,CA,63.7506,-68.5145,-15.07,70,20,5.75,few clouds
13,Pevek,RU,69.7008,170.3133,-29.81,100,98,6.13,overcast clouds
14,Raha,IN,26.2333,92.5167,65.5,68,11,3.98,few clouds
15,Hobart,AU,-42.8794,147.3294,75.02,46,75,14.97,broken clouds
16,Mataura,NZ,-46.1927,168.8643,56.48,45,78,9.33,broken clouds
17,Ilulissat,GL,69.2167,-51.1,28.42,64,100,13.8,overcast clouds
18,Solnechnyy,RU,50.7214,136.6319,14.43,87,100,8.3,overcast clouds
19,Esperance,AU,-33.8667,121.9,71.44,87,100,14.83,overcast clouds
20,Grootfontein,NA,-19.5667,18.1167,63.54,89,72,4.76,light rain
21,Port Alfred,ZA,-33.5906,26.891,71.65,88,14,3.67,few clouds
22,Geraldton,AU,-28.7667,114.6,84.61,51,30,17.27,scattered clouds
23,Busselton,AU,-33.65,115.3333,71.1,64,58,15.03,broken clouds
24,Camana,PE,-16.6228,-72.7111,70.72,79,56,6.51,broken clouds
25,Portland,US,45.5234,-122.6762,57.78,37,20,16.11,few clouds
26,Rutul,RU,41.5357,47.4239,23.9,45,0,4.76,clear sky
27,Chapais,CA,49.7834,-74.8492,15.58,98,100,2.13,light snow
28,Hilo,US,19.7297,-155.09,71.8,88,25,4.34,scattered clouds
29,Bathsheba,BB,13.2167,-59.5167,77.61,61,20,23.02,few clouds
30,Jamestown,US,42.097,-79.2353,42.08,68,100,13.8,moderate rain
31,New Norfolk,AU,-42.7826,147.0587,74.66,28,6,3.0,clear sky
32,Hermanus,ZA,-34.4187,19.2345,66.79,90,28,8.97,scattered clouds
33,Upernavik,GL,72.7868,-56.1549,-9.02,83,100,16.31,overcast clouds
34,Dubbo,AU,-32.25,148.6167,82.53,32,40,12.66,scattered clouds
35,Dikson,RU,73.5069,80.5464,3.13,80,100,27.78,overcast clouds
36,Cabedelo,BR,-6.9811,-34.8339,79.47,81,62,10.07,broken clouds
37,Zholymbet,KZ,51.7433,71.7122,14.83,96,100,8.86,snow
38,Vaini,TO,-21.2,-175.2,84.36,89,20,8.05,few clouds
39,Rudbar,AF,30.15,62.6,57.51,24,0,0.81,clear sky
40,Paraisopolis,BR,-22.5542,-45.78,69.04,97,96,2.13,overcast clouds
41,Yerofey Pavlovich,RU,53.9667,121.9667,-0.89,63,92,2.64,overcast clouds
42,Kaitangata,NZ,-46.2817,169.8464,60.93,58,90,14.18,overcast clouds
43,Chuy,UY,-33.6971,-53.4616,71.1,88,47,8.57,scattered clouds
44,Jevargi,IN,17.0167,76.7667,76.68,37,20,9.71,few clouds
45,Puerto Ayora,EC,-0.7393,-90.3518,72.55,100,86,7.0,overcast clouds
46,Terrace,CA,54.5163,-128.6035,30.11,100,20,2.3,few clouds
47,Atchison,US,39.563,-95.1216,26.83,62,0,16.58,clear sky
48,Kirishi,RU,59.4471,32.0205,17.67,93,67,7.4,broken clouds
49,Saskylakh,RU,71.9167,114.0833,2.46,86,85,12.66,overcast clouds
50,Ibra,OM,22.6906,58.5334,63.32,57,0,1.92,clear sky
51,Cabo San Lucas,MX,22.8909,-109.9124,68.5,73,0,5.41,clear sky
52,Port Elizabeth,ZA,-33.918,25.5701,59.29,88,1,2.3,clear sky
53,Plettenberg Bay,ZA,-34.0527,23.3716,64.98,73,0,2.1,clear sky
54,San Carlos De Bariloche,AR,-41.1456,-71.3082,49.75,40,0,5.75,clear sky
55,La Chaux-De-Fonds,CH,47.0999,6.8259,26.65,74,12,4.61,few clouds
56,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,75,4.61,broken clouds
57,Butaritari,KI,3.0707,172.7902,82.36,77,90,16.8,light rain
58,Hrubieszow,PL,50.805,23.8925,33.03,94,92,16.78,light snow
59,Bredasdorp,ZA,-34.5322,20.0403,66.27,88,9,2.3,clear sky
60,Nikolskoye,RU,59.7035,30.7861,22.8,93,28,7.78,scattered clouds
61,Mosetse,BW,-20.75,26.65,67.42,57,7,9.33,clear sky
62,Bethel,US,41.3712,-73.414,50.11,62,0,6.91,clear sky
63,Albany,US,42.6001,-73.9662,50.58,59,100,1.01,overcast clouds
64,Chirongui,YT,-12.9319,45.1483,80.53,75,99,5.23,light rain
65,Georgetown,MY,5.4112,100.3354,86.9,74,20,5.75,few clouds
66,Fengrun,CN,39.8333,118.1167,29.75,34,100,5.82,overcast clouds
67,Lebu,CL,-37.6167,-73.65,56.79,83,0,15.9,clear sky
68,Pierre,US,44.3683,-100.351,7.72,66,100,4.61,overcast clouds
